plot,plot_surf,crop_2018,crop_2019,crop_2020,rotation,frac_mean,apar_year,rapar
6817321,0.75,LU7,LUZ,LUZ,LU7_LUZ_LUZ,0.5642204445658486,1010.0245443714633,0.5071694752863184
6817323,0.43,LU8,LUZ,LUZ,LU8_LUZ_LUZ,0.29740192541618893,622.759710189286,0.3127099407695182
6817324,0.94,MLG,MLG,PTR,MLG_MLG_PTR,0.5372567269619984,1081.6846379482233,0.5431525731831232
6817336,10.15,BTH,MIS,BTH,BTH_MIS_BTH,0.3306093015943858,830.123532164313,0.42387337413706716
6817346,5.06,BTH,MIS,BTH,BTH_MIS_BTH,0.30775812422942955,795.9637853687148,0.40643090133284837
6817356,2.59,BTH,MIS,PCH,BTH_MIS_PCH,0.18657608161258105,460.2764411034924,0.23392841564514397
6817366,1.45,LEC,BTH,TRN,LEC_BTH_TRN,0.14523323520943215,428.9500216632384,0.21529209648447697
6817368,1.75,BTH,BTH,TRN,BTH_BTH_TRN,0.22095782305247283,598.996950531193,0.30033142222190246
6817375,1.43,MIS,MIS,MIS,MIS_MIS_MIS,0.18718320364674235,523.0504302469008,0.2631114038171734
6817388,1.4,MIS,BTH,MIS,MIS_BTH_MIS,0.17016320425001058,473.824332729488,0.23827870534756482
6817391,3.75,MIS,BTH,MIS,MIS_BTH_MIS,0.31916760972173186,780.072350624333,0.39466605022165213
6817392,1.21,BTH,MIS,BTH,BTH_MIS_BTH,0.32604245386548886,803.1542019380826,0.4047589453133778
6817397,1.47,MIS,BTH,BTH,MIS_BTH_BTH,0.2357194352023334,641.0209820864122,0.3230500145637591
6817436,1.59,MIS,MIS,BTH,MIS_MIS_BTH,0.2240884672200247,610.8146060481283,0.3076010127440259
6817438,1.28,MPC,MIE,MIE,MPC_MIE_MIE,0.27833614890229935,675.1418829804098,0.3431304688170539
6817477,1.23,ORP,MIS,BTH,ORP_MIS_BTH,0.12020318591111381,320.3227661722752,0.16420805666986069
6817478,3.82,MIS,BTH,MIS,MIS_BTH_MIS,0.24060406020582872,0,NA
6817514,1.47,MIS,MIS,BTH,MIS_MIS_BTH,0.2076855822946105,563.7973157886114,0.2839235073977185
6817515,1.17,MIS,BTH,MIS,MIS_BTH_MIS,0.19340679117238518,534.9505011371491,0.2704060183907858
6817516,0.8,MIS,MIS,BTH,MIS_MIS_BTH,0.26185033168895766,718.8118568605225,0.3600021604528243
6817520,1.51,MIS,BTH,MIS,MIS_BTH_MIS,0.3152022683497214,836.3138748689812,0.42218664495371055
6817524,1.09,BTH,MIS,BTH,BTH_MIS_BTH,0.25941947542363847,676.9746798740833,0.33904886932578626
6817525,1.26,MIS,BTH,MIS,MIS_BTH_MIS,0.15714930512887834,446.2896953125082,0.22474767449246874
6817526,0.65,MIS,BTH,MIS,MIS_BTH_MIS,0.31302104341780745,826.2925924708945,0.41383168017692745
6817528,0.93,BTH,TRN,BTH,BTH_TRN_BTH,0.16681003259132415,457.07589465153217,0.23133350648415527
6817530,1.09,MIS,BTH,MIS,MIS_BTH_MIS,0.1555081224476492,445.67587921718666,0.22527960948864562
6817531,5.62,BTH,TRN,BTH,BTH_TRN_BTH,0.18553669082980856,513.0919578122791,0.2596841424770964
6817565,0.76,TTH,TTH,TTP,TTH_TTH_TTP,0.1799311797639264,437.72551410677727,0.21072992960715559
6817566,0.5,TTH,TTH,TTH,TTH_TTH_TTH,0.18266969348218576,485.566970351976,0.23507203939542515
