date,day_num,plot,ndvi,SURF_PARC,CODE_CULTU_2018,CODE_CULTU_2019,CODE_CULTU_2020,crop,year,com,radiation,min_ndvi,max_ndvi,scaled_ndvi,frac,par,apar,rotation,gp
2020-06-21,903,6851622,0.6133626519486813,0.58,MIS,MIS,MIS,MIS,2020,63455,18934518.001309916,0.27396412680756393,0.7400515569439244,0.7281863942175432,0.5302554247235471,9088568.64062876,4819262.824665714,MIS_MIS_MIS,top
2020-06-21,903,6857720,0.21578631565515372,5.45,MIS,MIS,MIS,MIS,2020,63149,17789882.30286076,0.05515684448253138,0.7837335879847629,0.2204702148472165,0.0486071156347778,8539143.505373165,415063.1357876353,MIS_MIS_MIS,low
2020-06-21,903,13282854,0.2151739858064541,14.48,MIS,MIS,MIS,MIS,2020,63327,18322284,0.15,0.72812692995962,0.11273300451685632,0.01270873030739754,8794696.32,111769.42366634168,MIS_MIS_MIS,low
2020-06-21,903,13291807,0.2552995000317765,4.52,MIS,MIS,MIS,MIS,2020,63151,18077673.842860423,0.19443403751167376,0.8755654353370409,0.08935935520580392,0.00798509436279703,8677283.444573002,69288.92711765193,MIS_MIS_MIS,top
2020-06-22,904,6787103,0.6654848800834202,0.33,MIS,MIS,MIS,MIS,2020,63195,17299125.195590455,0.1581965907280548,0.8487464036169339,0.7346150558395655,0.539659280266168,8303580.093883419,4481104.057097605,MIS_MIS_MIS,top
2020-06-22,904,6801438,0.2768404245076606,1.2,MIS,MIS,MIS,MIS,2020,63149,17384783.421660367,0.05225541919217437,0.679742152516227,0.3579119579560958,0.1281009696479661,8344696.042396976,1068963.654448598,MIS_MIS_MIS,low
2020-06-22,904,6815364,0.5563906748754208,6.66,MIS,MIS,MIS,MIS,2020,63444,16722768.92690874,0.11633484928319594,0.8640873567770765,0.5885046471687375,0.34633771973920024,8026929.084916195,2780028.31577814,MIS_MIS_MIS,low
2020-06-22,904,6819224,0.2648365644661431,1.78,MIS,MIS,MIS,MIS,2020,63366,16957197.123469476,0.10322638241291604,0.75,0.2498713269352971,0.06243568002440613,8139454.619265348,508192.3841816257,MIS_MIS_MIS,top
2020-06-22,904,6838703,0.30455017173212884,1.33,MIS,MIS,MIS,MIS,2020,63194,17270718.34322951,0.15,0.7526723339348179,0.2564414575380927,0.06576222114426142,8289944.804750164,545165.1835237014,MIS_MIS_MIS,low
2020-06-22,904,6841153,0.3050288904058127,3.36,MIS,MIS,MIS,MIS,2020,63138,17904633.53851939,0.18184657615101008,0.75,0.2168117080423393,0.04700731674423656,8594224.098489307,403991.4143686378,MIS_MIS_MIS,top
2020-06-22,904,6851622,0.6133626519486813,0.58,MIS,MIS,MIS,MIS,2020,63455,16896526.016376823,0.27396412680756393,0.7400515569439244,0.7281863942175432,0.5302554247235471,8110332.487860875,4300547.797999851,MIS_MIS_MIS,top
2020-06-22,904,6857720,0.21578631565515372,5.45,MIS,MIS,MIS,MIS,2020,63149,17384783.421660367,0.05515684448253138,0.7837335879847629,0.2204702148472165,0.0486071156347778,8344696.042396976,405611.60546986246,MIS_MIS_MIS,low
2020-06-22,904,13282854,0.2151739858064541,14.48,MIS,MIS,MIS,MIS,2020,63327,16891944,0.15,0.72812692995962,0.11273300451685632,0.01270873030739754,8108133.12,103044.07711855783,MIS_MIS_MIS,low
2020-06-22,904,13291807,0.2552995000317765,4.52,MIS,MIS,MIS,MIS,2020,63151,17623971.491041943,0.19443403751167376,0.8755654353370409,0.08935935520580392,0.00798509436279703,8459506.315700132,67549.95619354304,MIS_MIS_MIS,top
2020-06-23,905,6787103,0.6654848800834202,0.33,MIS,MIS,MIS,MIS,2020,63195,24328214.980540775,0.1581965907280548,0.8487464036169339,0.7346150558395655,0.539659280266168,11677543.190659571,6301894.553548436,MIS_MIS_MIS,top
2020-06-23,905,6801438,0.2768404245076606,1.2,MIS,MIS,MIS,MIS,2020,63149,24388838.662319463,0.05225541919217437,0.679742152516227,0.3579119579560958,0.1281009696479661,11706642.557913342,1499632.2629908454,MIS_MIS_MIS,low
2020-06-23,905,6815364,0.5563906748754208,6.66,MIS,MIS,MIS,MIS,2020,63444,24365492.202390634,0.11633484928319594,0.8640873567770765,0.5885046471687375,0.34633771973920024,11695436.257147504,4050570.724655634,MIS_MIS_MIS,low
2020-06-23,905,6819224,0.2648365644661431,1.78,MIS,MIS,MIS,MIS,2020,63366,24609588.643608063,0.10322638241291604,0.75,0.2498713269352971,0.06243568002440613,11812602.54893187,737527.8730005946,MIS_MIS_MIS,top
2020-06-23,905,6838703,0.30455017173212884,1.33,MIS,MIS,MIS,MIS,2020,63194,24441682.72290621,0.15,0.7526723339348179,0.2564414575380927,0.06576222114426142,11732007.70699498,771522.8852935833,MIS_MIS_MIS,low
2020-06-23,905,6841153,0.3050288904058127,3.36,MIS,MIS,MIS,MIS,2020,63138,24658786.611576226,0.18184657615101008,0.75,0.2168117080423393,0.04700731674423656,11836217.573556587,556388.8285338737,MIS_MIS_MIS,top
2020-06-23,905,6851622,0.6133626519486813,0.58,MIS,MIS,MIS,MIS,2020,63455,24436121.80615736,0.27396412680756393,0.7400515569439244,0.7281863942175432,0.5302554247235471,11729338.466955531,6219545.350521745,MIS_MIS_MIS,top
2020-06-23,905,6857720,0.21578631565515372,5.45,MIS,MIS,MIS,MIS,2020,63149,24388838.662319463,0.05515684448253138,0.7837335879847629,0.2204702148472165,0.0486071156347778,11706642.557913342,569026.1285075048,MIS_MIS_MIS,low
2020-06-23,905,13282854,0.2151739858064541,14.48,MIS,MIS,MIS,MIS,2020,63327,24509460,0.15,0.72812692995962,0.11273300451685632,0.01270873030739754,11764540.8,149512.376217575,MIS_MIS_MIS,low
2020-06-23,905,13291807,0.2552995000317765,4.52,MIS,MIS,MIS,MIS,2020,63151,24712907.70623032,0.19443403751167376,0.8755654353370409,0.08935935520580392,0.00798509436279703,11862195.698990554,94720.75200640471,MIS_MIS_MIS,top
