date,day_num,plot,ndvi,SURF_PARC,CODE_CULTU_2018,CODE_CULTU_2019,CODE_CULTU_2020,crop,year
2020-12-18,1083,10893305,0.2283450167296407,2.8,BTH,MIS,BTH,BTH,2020
2020-08-10,953,6850081,0.24105914169498643,1.1,BTH,MIS,BTH,BTH,2020
2020-10-08,1012,6885406,0.10965027609781752,2.26,BTH,TRN,BTH,BTH,2020
2020-12-11,1076,6769543,0.4625055048307056,3.29,ORH,CZH,BTH,BTH,2020
2020-02-10,771,6775786,0.22829276672138088,1.72,PTR,MIS,BTH,BTH,2020
2020-05-14,865,13287264,0.9073476472374412,0.97,MIE,TRN,BTH,BTH,2020
2020-04-06,827,10892016,0.7818481973300783,3.79,LIH,BTH,BTH,BTH,2020
2020-08-09,952,13291458,0.2039041477180192,1.83,PTR,MIS,BTH,BTH,2020
2020-07-23,935,6778794,0.22625298214995063,2.41,BTH,SOG,BTH,BTH,2020
2020-09-09,983,13272671,0.2506097586458465,2.66,ORH,TRN,BTH,BTH,2020
2020-12-23,1088,6814717,0.3382244159480973,2.87,BTH,TRN,BTH,BTH,2020
2020-11-09,1044,6876981,0.21358539664859044,0.83,TRN,BTH,BTH,BTH,2020
2020-03-29,819,267106,0.7914505312740112,2.2,CZH,BTH,BTH,BTH,2020
